,h_post,h_post_individualized
562,0.8726848068360341,
587,0.886949721248151,
571,0.868227364468358,
911,0.8922118927827617,
615,0.8731397761613078,
686,0.8757940448336357,
655,0.8755465667485652,
900,0.896558986353189,
696,0.8711902950193124,
748,0.8662150203874848,
978,0.8727737036360138,
580,0.8346388979601939,
928,0.8614967332719057,
810,0.8625354977631328,
749,0.869437818602889,
843,0.8992659483155518,
549,0.885474197968302,
524,0.8630875724284556,
634,0.8923380283255946,
744,0.8722008489624294,
702,0.8875918955984204,
815,0.8734075525797178,
709,0.8920007318054423,
804,0.8684402315136783,
947,0.8605537113183844,
794,0.8753270739044374,
857,0.8712127824157865,
728,0.873566514135033,
564,0.8727041716431079,
699,0.8789372952250389,
716,0.8432638292243043,
953,0.8980021891454241,
983,0.8770999761770063,
846,0.8811158749012932,
574,0.9062633956180756,
675,0.8705882549197672,
581,0.8771685807206976,
645,0.9011791952634316,
878,0.8762025021804146,
944,0.8501129608644814,
961,0.8085417094242148,
585,0.8816822580021376,
956,0.8751204594685841,
681,0.8706233223317241,
612,0.8825091439862077,
817,0.8720061406856444,
557,0.8600857861580447,
848,0.8735211073398461,
955,0.8667115753062703,
823,0.8788817820310647,
942,0.8936725860722045,
897,0.8890818516310856,
718,0.8688948915431792,
694,0.8729136185997742,
791,0.8868943494713009,
986,0.8796272369037013,
544,0.8605935408932295,
629,0.9046127674794092,
584,0.8802957196993694,
671,0.8882015302056401,
785,0.8622781874417064,
597,0.8980711285093677,
644,0.8812128786667067,
966,0.8786050182994752,
836,0.8393753268906908,
743,0.8781294743795142,
889,0.8988411826882742,
903,0.8687012091867142,
555,0.8762700452431507,
708,0.884822581570216,
674,0.8631557067739706,
814,0.8811883880326489,
813,0.8577776709436042,
798,0.8701479306948285,
563,0.8862980214577646,
746,0.8862002775277574,
556,0.8803371685337495,
668,0.8889078472089804,
822,0.8733506503639045,
639,0.870643060169383,
934,0.8863913704788381,
919,0.8894445864969603,
712,0.8763994422735463,
509,0.8355477348460008,
683,0.844579878741167,
554,0.8704711533082069,
809,0.8752671409527047,
951,0.8925600183979397,
519,0.8988412750331137,
980,0.8700679324243771,
742,0.840768890718427,
870,0.8691285807406196,
803,0.8784465712945497,
558,0.8761190009129662,
881,0.8673161221032362,
853,0.8876792108819833,
963,0.8713367464869604,
820,0.9044834760935262,
505,0.891206634270277,
925,0.8807418098520787,
