,h_post,h_post_individualized
392,0.5004422580326064,
249,0.5320423302347504,
273,0.5008773356295132,
312,0.7109092662015648,
209,0.5578476927169661,
210,0.6341914535509681,
388,0.6565402271398635,
221,0.5711284167175827,
211,0.5431435850204326,
346,0.5549294136423054,
241,0.5625257555442449,
275,0.5145062463260338,
268,0.5320245449150743,
235,0.5985764238488821,
239,0.6293720424430572,
377,0.7244539079917895,
280,0.6433789759801151,
306,0.5022982311009786,
372,0.5078370324832974,
307,0.5191511626860446,
329,0.5716148224962152,
253,0.6061015703251897,
277,0.5714452979539105,
381,0.5126564295046919,
395,0.6504085275302591,
380,0.5154830171935567,
296,0.617950978707657,
216,0.607776247558751,
318,0.6460227213761528,
356,0.5789468717981743,
242,0.6031764874459035,
295,0.6031495784138037,
317,0.5156318901258556,
328,0.5717510784641445,
393,0.5006049990120718,
396,0.584037490881492,
319,0.5251951986265404,
386,0.5817359172621528,
258,0.5220818209235867,
227,0.5717616148000766,
254,0.5397421271092308,
218,0.5730713965277912,
207,0.5268781947432785,
326,0.5258724669596646,
338,0.6207824162225952,
223,0.6629930708952247,
373,0.5733694523505365,
300,0.5587904682248497,
265,0.6112644823649274,
333,0.5302706513104424,
