,h_post,h_post_individualized
890,0.5114778865725053,
874,0.5014446264320044,
920,0.6695579337162458,
964,0.506209092115624,
882,0.5253816043895015,
899,0.5175235063952773,
555,0.5368555586298746,
694,0.5236765498201696,
639,0.5142515819158336,
522,0.5034446852026422,
687,0.5008395274105828,
578,0.5238955037897816,
953,0.5005419563450608,
834,0.5116885944610597,
966,0.5134634116920911,
558,0.5006092425812311,
832,0.5102204694624658,
550,0.564273372633062,
705,0.5004045836254057,
960,0.7702427560794525,
754,0.505523295246044,
863,0.522628005691252,
776,0.5027100482711075,
633,0.6567821561342961,
977,0.5159418764801645,
536,0.5068300356875558,
660,0.5339466099441406,
912,0.518164105778502,
725,0.6212732520722296,
909,0.5119854940542917,
598,0.5120171936949842,
786,0.5173273815047414,
556,0.49654486646791707,
859,0.6403091407855904,
762,0.5006770208358073,
636,0.5017451303478796,
775,0.5254289620025031,
521,0.5120038027587347,
511,0.5523980853415463,
712,0.5668891827602732,
957,0.5177011745913312,
732,0.5175466825583491,
623,0.5000407097956938,
718,0.4726817596107878,
513,0.5058537174555542,
935,0.5229535859707385,
617,0.5158817603976804,
831,0.5066612596902843,
654,0.505061483443641,
724,0.5680340872903181,
943,0.5088752837028441,
837,0.5089964072047167,
684,0.5002577774296226,
777,0.5051006364004764,
967,0.5044534180870681,
811,0.5095814499589321,
743,0.50141667237199,
656,0.42184743156505355,
820,0.5011303226445591,
758,0.5257955084652173,
668,0.5397927063875875,
973,0.5064457185353753,
573,0.6186934737185636,
784,0.5050864024361585,
886,0.5107151973721408,
514,0.5029935374832014,
731,0.5106434876144695,
600,0.509603234605537,
572,0.5028944249119083,
640,0.5071907320188337,
766,0.504649089395133,
847,0.5056958970306179,
613,0.5073784385525567,
781,0.5001592173066217,
763,0.5003996857143131,
867,0.517864079422977,
622,0.5069415799500177,
932,0.49136935052169356,
673,0.4190618722489228,
577,0.501566368445737,
614,0.5432826676392557,
688,0.5105997838548338,
509,0.7199969229072445,
994,0.5041148258913919,
692,0.5059143623672429,
596,0.5278829186866277,
965,0.5122334324201566,
534,0.49040283501400234,
508,0.5397809671158474,
738,0.4992438660269305,
571,0.5028901081574559,
951,0.5061221041319343,
702,0.3992437571591278,
836,0.5018666934681478,
628,0.5078484529518623,
779,0.5483082117234567,
678,0.5020713314149224,
893,0.5065961442141149,
517,0.5489933655895883,
844,0.5016396367546121,
